t, c	M(t), рад	E(t), рад	Teta(t), с	
696	0.485091	-0.695249	5.17659
697	0.485788	-0.694552	5.17757
698	0.486485	-0.693855	5.17854
699	0.487182	-0.693158	5.17951
700	0.487879	-0.692461	5.18049
701	0.488576	-0.691764	5.18146
702	0.489273	-0.691067	5.18244
703	0.48997	-0.69037	5.18341
704	0.490667	-0.689673	5.18439
705	0.491364	-0.688976	5.18536
706	0.492061	-0.688279	5.18634
707	0.492758	-0.687582	5.18732
708	0.493455	-0.686885	5.18829
709	0.494152	-0.686188	5.18927
710	0.494849	-0.685491	5.19025
711	0.495546	-0.684794	5.19123
712	0.496243	-0.684097	5.1922
713	0.49694	-0.683401	5.19318
714	0.497637	-0.682704	5.19416
715	0.498334	-0.682007	5.19514
716	0.499031	-0.68131	5.19612
717	0.499728	-0.680613	5.1971
718	0.500425	-0.679916	5.19808
719	0.501121	-0.679219	5.19906
720	0.501818	-0.678522	5.20004
721	0.502515	-0.677825	5.20102
722	0.503212	-0.677128	5.202
723	0.503909	-0.676431	5.20299
724	0.504606	-0.675734	5.20397
725	0.505303	-0.675037	5.20495
726	0.506	-0.67434	5.20593
727	0.506697	-0.673643	5.20692
728	0.507394	-0.672946	5.2079
729	0.508091	-0.672249	5.20888
730	0.508788	-0.671552	5.20987
731	0.509485	-0.670855	5.21085
732	0.510182	-0.670158	5.21184
733	0.510879	-0.669461	5.21282
734	0.511576	-0.668764	5.21381
735	0.512273	-0.668067	5.21479
736	0.51297	-0.66737	5.21578
737	0.513667	-0.666673	5.21677
738	0.514364	-0.665976	5.21775
739	0.515061	-0.665279	5.21874
740	0.515758	-0.664582	5.21973
741	0.516455	-0.663885	5.22072
742	0.517152	-0.663188	5.22171
743	0.517849	-0.662491	5.22269
744	0.518546	-0.661794	5.22368
745	0.519243	-0.661097	5.22467
746	0.51994	-0.660401	5.22566
747	0.520637	-0.659704	5.22665
748	0.521334	-0.659007	5.22764
749	0.522031	-0.65831	5.22863
750	0.522728	-0.657613	5.22962
751	0.523425	-0.656916	5.23062
752	0.524122	-0.656219	5.23161
753	0.524818	-0.655522	5.2326
754	0.525515	-0.654825	5.23359
755	0.526212	-0.654128	5.23458
756	0.526909	-0.653431	5.23558
757	0.527606	-0.652734	5.23657
758	0.528303	-0.652037	5.23756
759	0.529	-0.65134	5.23856
760	0.529697	-0.650643	5.23955
761	0.530394	-0.649946	5.24055
762	0.531091	-0.649249	5.24154
763	0.531788	-0.648552	5.24254
